,year,where_coordinates,total_deaths,Item,Value,Cholera case fatality rate,Gross national income per capita (Atlas method),Number of cases of visceral leishmaniasis reported,Number of deaths among children 5 to 14 years of age,Number of diarrhoea deaths from inadequate water,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),Total fertility rate (per woman),Total number of notified TB cases
5123,2014,El Sireaf Beni Hussein locality,10.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5122,2014,El Sireaf Beni Hussein locality,10.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5121,2014,Khudayra village,5.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5120,2014,Khudayra village,5.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5119,2014,El Sireaf district,2.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5118,2014,El Sireaf district,2.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5117,2014,El Sireaf district,13.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5116,2014,El Sireaf district,13.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5115,2014,North Darfur state,1.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5114,2014,North Darfur state,1.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5129,2014,El Sireaf district,21.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5180,2014,Sali village,1.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5181,2014,Sali village,1.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5182,2014,Salayle village,10.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5216,2014,Saraf Omra town,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5215,2014,Saraf Omra town,11.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5214,2014,Saraf Omra town,11.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5213,2014,North Darfur state,34.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5212,2014,North Darfur state,34.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5205,2014,East Darfur state,0.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5204,2014,East Darfur state,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5224,2014,Ailliet town,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5203,2014,East Darfur state,0.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5201,2014,East Darfur state,2.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5200,2014,East Darfur state,2.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5187,2014,Muradaf village,10.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5186,2014,Muradaf village,10.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5185,2014,Mukjar town,5.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5184,2014,Mukjar town,5.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5183,2014,Salayle village,10.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
5202,2014,East Darfur state,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4579,2014,Trogi village,0.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4574,2014,Kutum town,4.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4581,2014,Dalami town,11.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4697,2014,Rokoro district,0.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4698,2014,Tura village,3.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4699,2014,Tura village,3.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3480,2014,Umm Rakuba village,223.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3479,2014,Umm Rakuba village,223.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3478,2014,Umm Rakuba village,64.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3477,2014,Umm Rakuba village,64.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3476,2014,Abu Karinka district,3.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3475,2014,Abu Karinka district,3.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3474,2014,Abu Karinka town,22.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3473,2014,Abu Karinka town,22.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3472,2014,El Daein town,1.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3471,2014,El Daein town,1.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3470,2014,East Darfur state,0.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3469,2014,East Darfur state,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3468,2014,El Daein town,18.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3467,2014,El Daein town,18.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4696,2014,Rokoro district,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4695,2014,Road between Kadugli and Dilling,5.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4694,2014,Road between Kadugli and Dilling,5.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4693,2014,Nertiti district,31.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4681,2014,Blue Nile state,1.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4682,2014,Ed Damazine district,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4683,2014,Ed Damazine district,0.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3586,2014,West Kordofan state,2.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3585,2014,West Kordofan state,2.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3584,2014,West Kordofan state,0.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3583,2014,West Kordofan state,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3582,2014,West Kordofan state,2.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4580,2014,Dalami town,11.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
3581,2014,West Kordofan state,2.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4685,2014,El Kurmuk district,1.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4686,2014,El Ahmier village,1.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4687,2014,El Ahmier village,1.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4688,2014,Kadugli town,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4689,2014,Kadugli town,0.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4690,2014,Balangia locality,0.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4691,2014,Balangia locality,0.0,GDP Deflator,96.7697781614,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4692,2014,Nertiti district,31.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
4684,2014,El Kurmuk district,1.0,GDP Deflator,92.1307584851,,,3415.0,9153.05065.04088.0,,37.1798838.4336335.85371,5.71575.000084.282926.517543.6765.476227.333657.00164.758886.133863.832795.818286.551557.51466.284353.824994.520723.859335.43236.622475.459755.455186.595826.901997.040363.8156.394684.921375.694496.767386.019816.983056.307273.541173.319655.967654.581357.69482,20392.0
