GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),COUNTRY (DISPLAY),DIMENSION (NAME),Average
NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2007,Sudan,Female,1.05
HIV_0000000026,Number of new HIV infections,2007,Sudan,Male,1450
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2007,Sudan,Both sexes,16.85509
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2007,Sudan,Female,54.4093
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2007,Sudan,Male,316.8006
HIV_0000000026,Number of new HIV infections,2007,Sudan,Male,1205
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,Sudan,1-59 months,0.10873
W6_font_C,"Does the law mandate font style, font size and colour of health warnings on smokeless tobacco packaging?",2007,Sudan,,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,Sudan,0-4 years,0.07349
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2007,Sudan,Urban,5.495735
SDGHIV,New HIV infections (per 1000 uninfected population),2007,Sudan,Male,0.1
PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),2007,Sudan,Rural,14.16269
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2007,Sudan,Male,4.15
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2007,Sudan,Female,3.65
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2007,Sudan,Female,292.5
UHC_SCI_NCD,UHC Service Coverage sub-index on noncommunicable diseases,2007,Sudan,,53.58522
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2007,Sudan,Both sexes,267261.5667
NCD_PAA,Prevalence of insufficient physical activity among adults aged 18+ years (age-standardized estimate) (%),2007,Sudan,Male,19.68153
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Total,1.15
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2007,Sudan,Male,511.41991
TB_c_new_tsr,Treatment success rate: new TB cases,2007,Sudan,,78
LIFE_0000000034,Tx - person-years lived above age x,2007,Sudan,Female,2880504.632
HIV_0000000026,Number of new HIV infections,2007,Sudan,Both sexes,2900
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2007,Sudan,Mild,1283
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),2007,Sudan,,39
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2007,Sudan,Male,13.658085
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2007,Sudan,Female,15.067155
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",2007,Sudan,Rural,19.72
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Urban,21.05
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2007,Sudan,Male,5847
CM_01,Number of under-five deaths,2007,Sudan,Both sexes,82384.5
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2007,Sudan,Male,6378.54907
HIV_0000000026,Number of new HIV infections,2007,Sudan,Both sexes,2850
MORT_100,Number of deaths,2007,Sudan,Both sexes,17107.08148
NCD_CCS_dilated_fundus,General availability of dilated fundus examination at the primary health care level,2007,Sudan,,0
RSUD_450,Pharmacotherapy with buprenorphine/naloxone,2007,Sudan,Maintenance,0
MDG_0000000003,Adolescent birth rate (per 1000 women),2007,Sudan,Female,5.19
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2007,Sudan,Male,164.59439
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2007,Sudan,Both sexes,3.825815
MORT_100,Number of deaths,2007,Sudan,Both sexes,0
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2007,Sudan,Male,268593.3024
NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",2007,Sudan,Both sexes,24.3858
LIFE_0000000035,ex - expectation of life at age x,2007,Sudan,Female,57.66314
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2007,Sudan,Female,2
NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",2007,Sudan,Female,2.75
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2007,Sudan,Male,6832
W4_pc_back_A,Percentage of principal display area mandated to be covered by health warnings - back of cigarette packaging,2007,Sudan,,0
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2007,Sudan,Male,8.96334
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),2007,Sudan,Total,39.1
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2007,Sudan,Male,7721.5
FINPROTECTION_IMP_NPRELPL_POP,"Population pushed below a relative poverty line by household health expenditures - 60% of median daily per capita consumption or income (%, national, rural, urban)",2007,Sudan,Rural,4.35
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2007,Sudan,Urban,5.31048
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2007,Sudan,Both sexes,25.673775
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2007,Sudan,Other alcoholic beverages,0.00014
NCD_DTH_TOT,Total NCD Deaths (in thousands),2007,Sudan,Male,68799.315
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),2007,Sudan,Male,5.150735
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2007,Sudan,Female,0.00945
LIFE_0000000031,lx - number of people left alive at age x,2007,Sudan,Male,84335.41051
NUTRITION_ANAEMIA_PREGNANT_NUM,Number of pregnant women (aged 15-49 years) with anaemia (thousands),2007,Sudan,Severe,15.385
WHS4_543,BCG immunization coverage among 1-year-olds (%),2007,Sudan,,92
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2007,Sudan,Total,33.1
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2007,Sudan,Mild,18.55
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2007,Sudan,54 to 59 months,3.25
MORT_100,Number of deaths,2007,Sudan,Both sexes,10802.86538
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2007,Sudan,Both sexes,346667.0097
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",2007,Sudan,Female,45.279035
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),2007,Sudan,Both sexes,44.932555
MORT_200,Deaths per 1 000 live births,2007,Sudan,0-27 days,0.00823
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2007,Sudan,Female,99.632665
GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,2007,Sudan,,23.34
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2007,Sudan,Both sexes,0.02188
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),2007,Sudan,Total,67.4
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2007,Sudan,Total,17.24575
NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",2007,Sudan,Both sexes,2.7
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),2007,Sudan,,44.939975
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2007,Sudan,Beer,0.00356
W11_outside_pack_B,Do health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale?,2007,Sudan,,0
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Total,1.55
NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (millions), model-based estimates",2007,Sudan,,0.14865
NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate),2007,Sudan,Male,0
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2007,Sudan,Male,397953.1176
NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate),2007,Sudan,Female,0
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2007,Sudan,Female,14.207975
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2007,Sudan,Female,0
NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",2007,Sudan,Both sexes,4
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2007,Sudan,Both sexes,0
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",2007,Sudan,Both sexes,14.519135
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2007,Sudan,Both sexes,8.924935
WHS3_41,Diphtheria - number of reported cases,2007,Sudan,,7
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2007,Sudan,Severe,249.95
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2007,Sudan,Both sexes,0.11035
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2007,Sudan,Both sexes,6.191095
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2007,Sudan,Male,14430.89246
MALARIA_PRES_CASES,Number of presumed malaria cases,2007,Sudan,,1998368
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2007,Sudan,Severe,4.35
NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",2007,Sudan,Female,2.9
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),2007,Sudan,Total,24.3296
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",2007,Sudan,Female,13.5065
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2007,Sudan,Both sexes,9.532665
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2007,Sudan,Both sexes,48.063215
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2007,Sudan,Male,12.91418
MORT_200,Deaths per 1 000 live births,2007,Sudan,0-4 years,0.1219
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2007,Sudan,Female,11.764605
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2007,Sudan,Female,4
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",2007,Sudan,,36.3
MORT_200,Deaths per 1 000 live births,2007,Sudan,0-4 years,5.47696
W-MM_Group,Anti-tobacco mass media campaigns,2007,Sudan,,0
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2007,Sudan,Both sexes,52.95
MORT_200,Deaths per 1 000 live births,2007,Sudan,0-27 days,6.97359
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2007,Sudan,Male,0.00513
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,Sudan,0-4 years,0.10441
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2007,Sudan,Female,15.43235
SDGSUICIDE,Crude suicide rates (per 100 000 population),2007,Sudan,Female,3.205
NTCP_govt_obj,Government objectives on tobacco control exist,2007,Sudan,,0
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2007,Sudan,Male,17.770605
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2007,Sudan,Beer,1.51
AIR_41,Ambient air pollution attributable deaths,2007,Sudan,Male,1187.439345
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Total,63.75
LIFE_0000000034,Tx - person-years lived above age x,2007,Sudan,Male,5365543.629
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2007,Sudan,Female,0
NCD_UNDER70,Premature deaths due to noncommunicable diseases (NCD) as a proportion of all NCD deaths,2007,Sudan,Male,57.648015
MORT_200,Deaths per 1 000 live births,2007,Sudan,1-59 months,0.22105
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2007,Sudan,Other alcoholic beverages,0.00014
NTCP_govt_obj,Government objectives on tobacco control exist,2007,Sudan,,0
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2007,Sudan,,9.72
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2007,Sudan,Both sexes,1.81532
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2007,Sudan,Moderate,34.35
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2007,Sudan,Male,8783.994
MORT_100,Number of deaths,2007,Sudan,Both sexes,849.71761
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2007,Sudan,Rural,0.14955
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",2007,Sudan,Male,14.550565
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2007,Sudan,Female,0.04166
MORT_200,Deaths per 1 000 live births,2007,Sudan,1-59 months,0.77919
LIFE_0000000031,lx - number of people left alive at age x,2007,Sudan,Both sexes,63814.85012
WHS3_43,Pertussis - number of reported cases,2007,Sudan,,98931
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2007,Sudan,Total,21.386645
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2007,Sudan,Rural,10.612195
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2007,Sudan,Both sexes,16.1054
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2007,Sudan,Moderate,1622.5
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",2007,Sudan,,36
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2007,Sudan,,1.2
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,Sudan,0-27 days,0.00797
LIFE_0000000035,ex - expectation of life at age x,2007,Sudan,Female,69.7097
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,Sudan,1-59 months,0.07621
GHED_CHEGDP_SHA2011,Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),2007,Sudan,,4.57
LIFE_0000000031,lx - number of people left alive at age x,2007,Sudan,Both sexes,83612.76417
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2007,Sudan,Both sexes,0
MORT_100,Number of deaths,2007,Sudan,Both sexes,0
W26_plain_packaging_B,Plain packaging of other smoked tobacco products is mandatory (ie. the use of logos colours brand images or promotional information on packaging other than brand names and product names displayed in a standard colour and font style is prohibited).,2007,Sudan,,0
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2007,Sudan,Male,0.00584
MORT_100,Number of deaths,2007,Sudan,Both sexes,7.2564
RSUD_160,Involvement of representatives of affected or targeted populations in the development and implementation of national programmes for treatment of substance use disorders,2007,Sudan,Representatives of non-governmental organizations,0
NCD_GLUC_01,Mean fasting blood glucose (mmol/l) (age-standardized estimate),2007,Sudan,Male,5.11312
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),2007,Sudan,Rural,47.95
DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,2007,Sudan,,0
GHED_GGHE-DGGE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),2007,Sudan,,5.56
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",2007,Sudan,Female,0.26111
AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),2007,Sudan,Both sexes,47.806445
SA_0000001751,"Alcohol, average daily intake in grams among drinkers, three-year average",2007,Sudan,Male,0
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2007,Sudan,Male,81.899955
SDGHIV,New HIV infections (per 1000 uninfected population),2007,Sudan,Female,0.105
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Rural,4.65
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",2007,Sudan,Both sexes,88.48898
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2007,Sudan,Female,2.518155
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2007,Sudan,Total,0.053215
MDG_0000000003,Adolescent birth rate (per 1000 women),2007,Sudan,Female,93.39
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2007,Sudan,Male,16.05
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),2007,Sudan,,84
NCD_CCS_CholMsmt,General availability of total cholesterol measurement at the primary health care level,2007,Sudan,,0
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2007,Sudan,Male,0.01035
CM_01,Number of under-five deaths,2007,Sudan,Female,50201
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),2007,Sudan,,90
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2007,Sudan,6 to 59 months,31.7
CARE_SOURCE,Care-seeking by type of patient and source of care (%),2007,Sudan,Outpatient,0
SA_0000001414,"Alcohol, former drinkers (%), age-standardized",2007,Sudan,Female,3.732545
SDGPOISON,Mortality rate attributed to unintentional poisoning (per 100 000 population),2007,Sudan,Female,2.43198
GHED_PVT-D_pc_US_SHA2011,Domestic private health expenditure (PVT-D) per capita in US$,2007,Sudan,,66.17
NCD_PAC_ADO,Insufficiently active (crude estimate),2007,Sudan,Male,88.28375
MORT_200,Deaths per 1 000 live births,2007,Sudan,0-27 days,2.15945
NCD_CCS_Metformin,General availability of metformin in the public health sector,2007,Sudan,,0
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2007,Sudan,Both sexes,4.21366
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",2007,Sudan,Female,209.51591
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2007,Sudan,Male,3.440705
SDGPM25,Concentrations of fine particulate matter (PM2.5),2007,Sudan,Towns,27.589875
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2007,Sudan,All types,0.00309
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2007,Sudan,Rural,0.138045
MORT_100,Number of deaths,2007,Sudan,Both sexes,901
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2007,Sudan,Urban,3.510145
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2007,Sudan,Male,8.247625
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2007,Sudan,Both sexes,0.06017
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,Sudan,1-59 months,0.08957
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),2007,Sudan,Moderate,32.65
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2007,Sudan,Both sexes,13.958715
AIR_15,Household air pollution attributable DALYs,2007,Sudan,Both sexes,2196.677215
PHE_HHAIR_POP_CLEAN_FUELS,Population with primary reliance on clean fuels and technologies for cooking (in millions),2007,Sudan,Total,4.60302
MH_12,Age-standardized suicide rates (per 100 000 population),2007,Sudan,Female,3.79
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2007,Sudan,Female,12.180605
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Total,1.85
TB_c_new_tsr,Treatment success rate: new TB cases,2007,Sudan,,79
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2007,Sudan,Female,5008
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2007,Sudan,Female,3.44976
WHS3_43,Pertussis - number of reported cases,2007,Sudan,,521
WHS3_62,Measles - number of reported cases,2007,Sudan,,2390
AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),2007,Sudan,Male,548.081345
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2007,Sudan,Female,0.00229
LIFE_0000000031,lx - number of people left alive at age x,2007,Sudan,Both sexes,56512.25575
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2007,Sudan,Moderate,1616.5
W12_imports_dutyfree_A,Health warnings on cigarette packaging law applys to products whether manufactured domestically imported AND for duty-free sale,2007,Sudan,,0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2007,Sudan,Female,80.536495
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2007,Sudan,,93
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2007,Sudan,Male,0.06191
NCD_CCS_UrineAlbumin,General availability of urine testing for albumin,2007,Sudan,,0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2007,Sudan,Male,4.731905
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2007,Sudan,Moderate,19.1
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2007,Sudan,Male,1356.90925
MORT_100,Number of deaths,2007,Sudan,Both sexes,539.12852
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,Sudan,0-27 days,0.38293
NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",2007,Sudan,Female,2.75
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2007,Sudan,Male,8.55
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Total,83.1
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2007,Sudan,Female,0.00328
AIR_11,Household air pollution attributable deaths,2007,Sudan,Male,1789.512115
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2007,Sudan,Male,65.409625
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),2007,Sudan,,479
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Total,0.1
MORT_100,Number of deaths,2007,Sudan,Both sexes,2275.26737
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",2007,Sudan,Both sexes,0
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2007,Sudan,Total,0.534315
GHED_GGHE-DCHE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%),2007,Sudan,,36.19
NCD_DTH_TOT,Total NCD Deaths (in thousands),2007,Sudan,Female,47806.52
NCD_CHOL_MEANHDL_C,"Mean HDL cholesterol, crude",2007,Sudan,Female,1.05
CM_02,Number of infant deaths,2007,Sudan,Both sexes,39903.5
LIFE_0000000035,ex - expectation of life at age x,2007,Sudan,Female,70.75509
LIFE_0000000031,lx - number of people left alive at age x,2007,Sudan,Male,90239.60963
HIV_0000000011,Reported number of children receiving antiretroviral therapy,2007,Sudan,,188
DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units,2007,Sudan,,9.74
MORT_300,Distribution of causes of death among children aged < 5 years (%),2007,Sudan,1-59 months,0.031
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2007,Sudan,Male,116.577255
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",2007,Sudan,Both sexes,88.470255
LIFE_0000000034,Tx - person-years lived above age x,2007,Sudan,Female,1584432.902
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2007,Sudan,Both sexes,103490.342
WHS4_129,Hib (Hib3) immunization coverage among 1-year-olds (%),2007,Sudan,,75
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Total,0.8
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",2007,Sudan,Female,87.631585
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2007,Sudan,Male,3.6105
MORT_200,Deaths per 1 000 live births,2007,Sudan,0-27 days,1.26203
ASSISTIVETECH_Q03,Availability of public funding for assistive technology,2007,Sudan,In the budget for health services (or similar),0
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2007,Sudan,All types,0
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2007,Sudan,Total,0.85
MORT_200,Deaths per 1 000 live births,2007,Sudan,0-27 days,0.25623
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2007,Sudan,Total,16.68016
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2007,Sudan,Male,3.8
LIFE_0000000031,lx - number of people left alive at age x,2007,Sudan,Male,85437.30231
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,2007,Sudan,,2050354
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2007,Sudan,Male,3.85
NUTOVERWEIGHTNUM,"Overweight numbers among children under 5 years of age (millions), model-based estimates",2007,Sudan,,0.1825
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2007,Sudan,Female,10.40929
